GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tracker,ru.job4j.strategy,Paint,23,0,0,0,7,0,3,0,3,0
tracker,ru.job4j.strategy,Square,10,0,0,0,3,0,2,0,2,0
tracker,ru.job4j.strategy,Triangle,10,0,0,0,3,0,2,0,2,0
tracker,ru.job4j.encapsulation,Config,17,0,0,0,7,0,4,0,4,0
tracker,ru.job4j.oop,College,12,0,0,0,5,0,2,0,2,0
tracker,ru.job4j.oop,Surgeon,13,0,0,0,4,0,2,0,2,0
tracker,ru.job4j.oop,Bicycle,3,0,0,0,1,0,1,0,1,0
tracker,ru.job4j.oop,Error,56,0,0,0,18,0,4,0,4,0
tracker,ru.job4j.oop,Ball,13,0,2,0,5,0,3,0,2,0
tracker,ru.job4j.oop,BallStory,29,0,0,0,9,0,2,0,2,0
tracker,ru.job4j.oop,Pioneer,4,0,0,0,2,0,2,0,2,0
tracker,ru.job4j.oop,Engineer,21,0,0,0,7,0,2,0,2,0
tracker,ru.job4j.oop,Point,0,28,0,0,0,5,0,2,0,2
tracker,ru.job4j.oop,Builder,13,0,0,0,4,0,2,0,2,0
tracker,ru.job4j.oop,Hare,7,0,0,0,3,0,2,0,2,0
tracker,ru.job4j.oop,Profession,21,0,0,0,8,0,4,0,4,0
tracker,ru.job4j.oop,Diagnosis,4,0,0,0,2,0,2,0,2,0
tracker,ru.job4j.oop,Wolf,8,0,0,0,4,0,3,0,3,0
tracker,ru.job4j.oop,Story,25,0,0,0,8,0,2,0,2,0
tracker,ru.job4j.oop,Battery,45,0,0,0,12,0,3,0,3,0
tracker,ru.job4j.oop,Freshman,3,0,0,0,1,0,1,0,1,0
tracker,ru.job4j.oop,Student,28,0,0,0,13,0,4,0,4,0
tracker,ru.job4j.oop,Transport,3,0,0,0,1,0,1,0,1,0
tracker,ru.job4j.oop,Girl,4,0,0,0,2,0,2,0,2,0
tracker,ru.job4j.oop,Jar,45,0,0,0,12,0,3,0,3,0
tracker,ru.job4j.oop,Dentist,13,0,0,0,4,0,2,0,2,0
tracker,ru.job4j.oop,Dog,16,0,0,0,5,0,2,0,2,0
tracker,ru.job4j.oop,Doctor,21,0,0,0,7,0,2,0,2,0
tracker,ru.job4j.oop,Jukebox,34,0,4,0,13,0,5,0,3,0
tracker,ru.job4j.oop,DummyDic,6,0,0,0,2,0,2,0,2,0
tracker,ru.job4j.oop,Cat,60,0,0,0,22,0,6,0,6,0
tracker,ru.job4j.oop,Car,3,0,0,0,1,0,1,0,1,0
tracker,ru.job4j.oop,Fox,7,0,0,0,3,0,2,0,2,0
tracker,ru.job4j.oop,Triangle,0,91,2,6,0,15,2,6,0,4
